ec5_uuid,created_at,uploaded_at,created_by,title,1_Swamp,lat_2_location,long_2_location,accuracy_2_location,UTM_Northing_2_location,UTM_Easting_2_location,UTM_Zone_2_location,3_Species,4_approximate_number,5_approximate_number,6_No_plants_10m_radi,7_No_plants_10m_radi,8_No_plants_10m_radi,9_comments_for_plant,10_Record_any_eviden,11_BTR_evidence,12_BTR_evidence,13_Site_photopoint,14_Site_photopoint
6c65d36b-28f0-4460-8ed3-744b46627d44,2023-05-06T05:45:21.000Z,2023-05-07T02:39:27.000Z,sos1t.hccb@gmail.com,6c65d36b-28f0-4460-8ed3-744b46627d44,PB14,-31.958167,151.428977,10,6463123,351532,56J,Epacris rhombifolia,20,0,2,18,0,"PB14: dieback limited w most plants exhibiting up to 25% stem dieback and leaf loss, leaves yellowing sometimes maroon, lves falling from lower ends of stems first, brevifolia present","Runways and tunnels through Poa/sedge understory, med and old scats abundant, one fresh scat detected",6c65d36b-28f0-4460-8ed3-744b46627d44_1683351559.jpg,6c65d36b-28f0-4460-8ed3-744b46627d44_1683351706.jpg,6c65d36b-28f0-4460-8ed3-744b46627d44_1683351846.jpg,
60eef30f-d8c4-4b7f-89ba-2fd9b865241f,2023-05-06T05:30:06.000Z,2023-05-07T02:39:24.000Z,sos1t.hccb@gmail.com,60eef30f-d8c4-4b7f-89ba-2fd9b865241f,PB13,-31.958094,151.429734,10,6463132,351604,56J,Epacris rhombifolia,30,0,2,28,0,"PB13:dieback not too severe, most plants only affected on a few branches, few plants w more than 50 % dieback,  leaves yellowing, lower leaves falling first","Multiple runways and tunnels into clump, old and med scats detected",60eef30f-d8c4-4b7f-89ba-2fd9b865241f_1683350880.jpg,60eef30f-d8c4-4b7f-89ba-2fd9b865241f_1683351001.jpg,60eef30f-d8c4-4b7f-89ba-2fd9b865241f_1683350812.jpg,
d3b0a94d-d192-4647-b7f8-4735bf9e3c05,2023-05-06T04:45:56.000Z,2023-05-07T02:39:21.000Z,sos1t.hccb@gmail.com,d3b0a94d-d192-4647-b7f8-4735bf9e3c05,PB12,-31.958274,151.424056,12,6463105,351067,56J,sp. ,10,0,3,7,0,"PB12 LEPTOSPERMUM ARGENTUM: Generally good health, dieback of few branches w leaf loss but less than 25% of plant affected","Fresh med and old scats found, runways and tunnels detected",d3b0a94d-d192-4647-b7f8-4735bf9e3c05_1683348067.jpg,d3b0a94d-d192-4647-b7f8-4735bf9e3c05_1683348300.jpg,d3b0a94d-d192-4647-b7f8-4735bf9e3c05_1683348327.jpg,d3b0a94d-d192-4647-b7f8-4735bf9e3c05_1683348353.jpg
8a463757-869e-427c-9d70-98a7704d8b0b,2023-05-06T04:24:09.000Z,2023-05-07T02:38:38.000Z,sos2.hccb@gmail.com,8a463757-869e-427c-9d70-98a7704d8b0b,BB18,,,,,,,sp. ,20,1,20,5,1,"One dead plant. 5 with signs of dieback., black branches, dead branches.  Might not be Phytophora",3 scats foundnear creek,8a463757-869e-427c-9d70-98a7704d8b0b_1683346945.jpg,8a463757-869e-427c-9d70-98a7704d8b0b_1683347001.jpg,8a463757-869e-427c-9d70-98a7704d8b0b_1683347038.jpg,8a463757-869e-427c-9d70-98a7704d8b0b_1683347046.jpg
989d473f-38d7-4be1-ae5b-b8bb7b76e21e,2023-05-06T04:18:28.000Z,2023-05-07T02:38:35.000Z,sos2.hccb@gmail.com,989d473f-38d7-4be1-ae5b-b8bb7b76e21e,BB18,,,,,,,Epacris rhombifolia,18,6,0,16,6,"Mostly large, mature plants. All with dead branches, some up to 75%, most around 50%, a few plants less than 25%",Three BTR scats found approx 8m WSW of centre of plot.,989d473f-38d7-4be1-ae5b-b8bb7b76e21e_1683346638.jpg,989d473f-38d7-4be1-ae5b-b8bb7b76e21e_1683346652.jpg,989d473f-38d7-4be1-ae5b-b8bb7b76e21e_1683346671.jpg,989d473f-38d7-4be1-ae5b-b8bb7b76e21e_1683346705.jpg
d6e859a5-290c-4458-965f-6c5b8f51e855,2023-05-06T02:56:44.000Z,2023-05-07T02:39:18.000Z,sos1t.hccb@gmail.com,d6e859a5-290c-4458-965f-6c5b8f51e855,PB11,-31.95453,151.429523,6,6463527,351578,56J,Epacris rhombifolia,28,3,0,28,3,"PB11: Dieback medium, w most plants showing up to 50% stem dieback and leaf loss, symptoms appear more severe in plants closer to swamp edge, leaves lost from base of stem first, leaves yellowing, sometimes w maroon tinge","Lots of runways and tunnels, lots of piles of old scats, few med, no fresh detected",,d6e859a5-290c-4458-965f-6c5b8f51e855_1683341474.jpg,d6e859a5-290c-4458-965f-6c5b8f51e855_1683341355.jpg,
99240cf6-47bc-4b32-9d0d-95d2385a514d,2023-05-06T02:30:23.000Z,2023-05-07T02:38:32.000Z,sos2.hccb@gmail.com,99240cf6-47bc-4b32-9d0d-95d2385a514d,BB17,,,,,,,sp. ,30% cover,10% cover,75%,25%,10%,"50% healthy, 50% showing dieckback with dead branches, red leaves and discoloured bark",None,99240cf6-47bc-4b32-9d0d-95d2385a514d_1683340182.jpg,99240cf6-47bc-4b32-9d0d-95d2385a514d_1683340191.jpg,99240cf6-47bc-4b32-9d0d-95d2385a514d_1683340211.jpg,99240cf6-47bc-4b32-9d0d-95d2385a514d_1683340220.jpg
81bc37e6-e4bf-40bf-8718-04d5bca0eda4,2023-05-06T02:30:17.000Z,2023-05-07T02:39:15.000Z,sos1t.hccb@gmail.com,81bc37e6-e4bf-40bf-8718-04d5bca0eda4,PB10,-31.955365,151.431607,12,6463437,351776,56J,sp. ,4,0,3,1,0,"PB10 LEPTOSPERMUM ARGENTUM: Generally good health, one plant w 50% stem dieback and leaf loss",Potential runways found but no scats detected,81bc37e6-e4bf-40bf-8718-04d5bca0eda4_1683339919.jpg,,81bc37e6-e4bf-40bf-8718-04d5bca0eda4_1683340289.jpg,
98d453f0-bee9-4d69-9b44-94169b3c34d6,2023-05-06T02:26:10.000Z,2023-05-07T02:38:30.000Z,sos2.hccb@gmail.com,98d453f0-bee9-4d69-9b44-94169b3c34d6,BB17,,,,,,,Epacris breviflora,7,0,0,7,0,"All plants showing signs of dieback, from 25-75٪, dead branches, purple leaves",None,98d453f0-bee9-4d69-9b44-94169b3c34d6_1683339927.jpg,98d453f0-bee9-4d69-9b44-94169b3c34d6_1683339938.jpg,98d453f0-bee9-4d69-9b44-94169b3c34d6_1683339956.jpg,98d453f0-bee9-4d69-9b44-94169b3c34d6_1683339966.jpg
40e49346-d652-4ba2-9869-34c03029f9ab,2023-05-06T02:19:20.000Z,2023-05-07T02:38:27.000Z,sos2.hccb@gmail.com,40e49346-d652-4ba2-9869-34c03029f9ab,BB17,,,,,,,Epacris rhombifolia,6,0,0,2,0,"Most plants with minor signs of dieback, red leaves, small amount of dead leaves and small amount of dead branches. One larger plant with 90% dead branches.",None,40e49346-d652-4ba2-9869-34c03029f9ab_1683339410.jpg,40e49346-d652-4ba2-9869-34c03029f9ab_1683339464.jpg,40e49346-d652-4ba2-9869-34c03029f9ab_1683339519.jpg,40e49346-d652-4ba2-9869-34c03029f9ab_1683339556.jpg
65f15a6a-faec-4b67-bd20-e361a99467c5,2023-05-06T01:49:53.000Z,2023-05-07T02:39:13.000Z,sos1t.hccb@gmail.com,65f15a6a-faec-4b67-bd20-e361a99467c5,PB09,-31.957741,151.430234,13,6463172,351651,56J,Epacris rhombifolia,90%,10%,0,90%,10%,"PB09: Dieback generally severe, most plants showing ﹥50% stem dieback, leaves at base of stem falling first, most w leaves still at stem apex, leaves yellowing, sometimes w maroon tinge, dense old population","Multiple runways present, few med and old scats detected, site hard to search as Epacris v dense",,,65f15a6a-faec-4b67-bd20-e361a99467c5_1683337779.jpg,
c7e3f285-a3d8-4405-9728-9e490f30034d,2023-05-06T01:20:49.000Z,2023-05-07T02:38:25.000Z,sos2.hccb@gmail.com,c7e3f285-a3d8-4405-9728-9e490f30034d,BB16,,,,,,,sp. ,75%,25%,50%,50%,25%,"Sites dominated by dense stands of Baeckia, difficult to determine number of individual plants. Overall 25% dead branches. 50% with reddish leaves and discolouration of branch bark",None,c7e3f285-a3d8-4405-9728-9e490f30034d_1683336028.jpg,,,c7e3f285-a3d8-4405-9728-9e490f30034d_1683336045.jpg
76b9104e-0306-4dbc-b350-953f5a5b432c,2023-05-06T01:19:39.000Z,2023-05-07T02:39:09.000Z,sos1t.hccb@gmail.com,76b9104e-0306-4dbc-b350-953f5a5b432c,PB08,-31.958054,151.430659,5,6463138,351691,56J,Epacris rhombifolia,26,0,4,22,0,"PB08: Dieback medium, most plants showing up to 50% stem dieback w leaf loss, remainingb leaves yellowing, sometimes w maroon tinge, old population, brevifolia present, few healthy juveniles of both sp.detected","Many runways and tunnels detected going into Epacris clump, abundant fresh med and old scats found",76b9104e-0306-4dbc-b350-953f5a5b432c_1683335598.jpg,76b9104e-0306-4dbc-b350-953f5a5b432c_1683335803.jpg,76b9104e-0306-4dbc-b350-953f5a5b432c_1683335938.jpg,76b9104e-0306-4dbc-b350-953f5a5b432c_1683336122.jpg
bf3d27a3-7fd0-441f-bc46-412e160c629c,2023-05-06T00:51:31.000Z,2023-05-07T02:39:06.000Z,sos1t.hccb@gmail.com,bf3d27a3-7fd0-441f-bc46-412e160c629c,PB07,-31.958306,151.430929,5,6463110,351717,56J,Epacris rhombifolia,95%,5%,5%,90%,5%,"PB07: Dieback generally severe, most plants w ﹥50% dieback of stems, few less severely impacted, leaf loss from base of stems first, leaves yellowing, sometimes w maroon tinge, old population, few healthy looking juveniles present","runways and tunnels detected esp through Poa/sedge understory, many macropod paths, few med and old scats detected",bf3d27a3-7fd0-441f-bc46-412e160c629c_1683334029.jpg,bf3d27a3-7fd0-441f-bc46-412e160c629c_1683334224.jpg,bf3d27a3-7fd0-441f-bc46-412e160c629c_1683333925.jpg,
58ea94fe-073f-475b-97ea-a52f571d733d,2023-05-06T00:34:23.000Z,2023-05-07T02:38:23.000Z,sos2.hccb@gmail.com,58ea94fe-073f-475b-97ea-a52f571d733d,BB16,,,,,,,Epacris breviflora,7,0,0,7,0,"All small plants with dead or broken branches, leaves purple",None,58ea94fe-073f-475b-97ea-a52f571d733d_1683333239.jpg,,58ea94fe-073f-475b-97ea-a52f571d733d_1683333257.jpg,
246cfdf0-9bd2-46ed-96dc-400aacd42701,2023-05-06T00:30:07.000Z,2023-05-07T02:38:20.000Z,sos2.hccb@gmail.com,246cfdf0-9bd2-46ed-96dc-400aacd42701,BB16,,,,,,,Epacris rhombifolia,10,5,0,10,5,"Two plants in SE with up to 20% dieback, otherwise healthy with new leaf growth. Stand in NE with approx 9 plants, dominated by an old multi branched plant, difficult to determine number of individual plants. Approx 50% dieback.",None found,,,246cfdf0-9bd2-46ed-96dc-400aacd42701_1683332310.jpg,246cfdf0-9bd2-46ed-96dc-400aacd42701_1683332359.jpg
53bc4d7d-c0ae-4add-bfce-9a269639bde6,2023-05-06T00:29:46.000Z,2023-05-07T02:39:04.000Z,sos1t.hccb@gmail.com,53bc4d7d-c0ae-4add-bfce-9a269639bde6,PB06,-31.958454,151.431843,10,6463095,351804,56J,Epacris rhombifolia,32,0,5,27,0,"PB06: impact of dieback medium, most plants showing up to 50% dieback, loss of leaves on lower stem first, most w leaves still present at stem apex,  leaves yellowing, sometimes w maroon tinge, brevifolia also present w few healthy juvenile detected","Runways and tunnels detected throughout Epacris clump, abundant old and med scats, no fresh scats found",53bc4d7d-c0ae-4add-bfce-9a269639bde6_1683332483.jpg,53bc4d7d-c0ae-4add-bfce-9a269639bde6_1683332607.jpg,53bc4d7d-c0ae-4add-bfce-9a269639bde6_1683332773.jpg,53bc4d7d-c0ae-4add-bfce-9a269639bde6_1683332822.jpg
b854c58c-bccd-4803-a7cc-addeff7d7713,2023-05-05T23:57:47.000Z,2023-05-07T02:39:01.000Z,sos1t.hccb@gmail.com,b854c58c-bccd-4803-a7cc-addeff7d7713,PB05,-31.95858,151.431836,16,6463081,351803,56J,Epacris rhombifolia,21,7,1,20,7,"PB05:  Severe dieback and death, most plants showing ﹥75% dieback, often only a couple of stems left bearing leaves, w leaves only at stem apex, leaves yellowing, sometimes w maroon tinge, old pop w one healthy juvenile detected","Abundant tunnels and runways through sedge and Poa understory, fresh, med and old scats detected, few old swamp rat scats also detected",b854c58c-bccd-4803-a7cc-addeff7d7713_1683330605.jpg,b854c58c-bccd-4803-a7cc-addeff7d7713_1683330747.jpg,b854c58c-bccd-4803-a7cc-addeff7d7713_1683330799.jpg,b854c58c-bccd-4803-a7cc-addeff7d7713_1683330876.jpg
690420f2-2d47-44d3-a032-d8a7b84f4104,2023-05-05T23:31:06.000Z,2023-05-07T02:38:59.000Z,sos1t.hccb@gmail.com,690420f2-2d47-44d3-a032-d8a7b84f4104,PB04,-31.958594,151.434002,25,6463083,352008,56J,sp. ,4,0,0,4,0,"PB04 HAKEA MICROCARPA: dieback of stems present, up to 50% on some plants, yellowing of leaves present, black dots on some leaves","Runways found through grass understory, pile of 6 fresh scats found, old scats also detected",690420f2-2d47-44d3-a032-d8a7b84f4104_1683328695.jpg,690420f2-2d47-44d3-a032-d8a7b84f4104_1683329047.jpg,690420f2-2d47-44d3-a032-d8a7b84f4104_1683329125.jpg,690420f2-2d47-44d3-a032-d8a7b84f4104_1683329464.jpg
5011ab77-82f6-4a67-a412-156e6b7acb05,2023-05-05T23:12:09.000Z,2023-05-07T02:38:56.000Z,sos1t.hccb@gmail.com,5011ab77-82f6-4a67-a412-156e6b7acb05,PB03,-31.958555,151.433754,25,6463087,351985,56J,sp. ,5,0,1,4,0,"PB03 LEPTOSPERMUM ARGENTUM: old population, few branches per plant w loss of leaves, few leaves yellowing or tinged red, otherwise rest of plant generally healthy w vigorous growth & fruiting","Fresh, med and old scats found in liverwort clearing under shrub, multiple runways and tunnels through sedge/Poa under shrub also detected",5011ab77-82f6-4a67-a412-156e6b7acb05_1683327876.jpg,5011ab77-82f6-4a67-a412-156e6b7acb05_1683327989.jpg,5011ab77-82f6-4a67-a412-156e6b7acb05_1683328285.jpg,5011ab77-82f6-4a67-a412-156e6b7acb05_1683328325.jpg
05570520-1066-4af6-9f46-e58f1ed85936,2023-05-05T22:48:23.000Z,2023-05-07T02:38:53.000Z,sos1t.hccb@gmail.com,05570520-1066-4af6-9f46-e58f1ed85936,PB02,-31.958763,151.433684,11,6463064,351978,56J,Epacris rhombifolia,20,5,0,20,5,"PB02: Dieback severe, most plants showing ﹥75% stem death, often only a couple of stems left bearing leaves, leaves yellowing, sometimes w maroon tinge, brevifolia also present w few juveniles","Many runways and tunnels detected, old scats abundant, few med found, old swamp rat scats also detected",05570520-1066-4af6-9f46-e58f1ed85936_1683326554.jpg,05570520-1066-4af6-9f46-e58f1ed85936_1683326610.jpg,05570520-1066-4af6-9f46-e58f1ed85936_1683326428.jpg,
d8391857-b7b0-4c6f-8fc2-9eadbed42c62,2023-05-05T22:21:01.000Z,2023-05-07T02:38:51.000Z,sos1t.hccb@gmail.com,d8391857-b7b0-4c6f-8fc2-9eadbed42c62,PB01,,,,,,,Epacris rhombifolia,95%,5%,0%,95%,5%,"PB01: dieback impact medium, plants in swamp showing more severe symptoms w﹥50% dieback per plant or complete death, less severe in plants further away from swamp edge w ﹤25% dieback, yellowing leaves, sometimes w maroon tinge, loss of lower leaves first","Runways and tunnels abundant, fresh, med and old scats detected",d8391857-b7b0-4c6f-8fc2-9eadbed42c62_1683325099.jpg,d8391857-b7b0-4c6f-8fc2-9eadbed42c62_1683325130.jpg,d8391857-b7b0-4c6f-8fc2-9eadbed42c62_1683325163.jpg,
884413dd-5999-4f9b-9044-c91440ae1843,2023-05-05T07:18:53.000Z,2023-05-07T02:38:17.000Z,sos2.hccb@gmail.com,884413dd-5999-4f9b-9044-c91440ae1843,BB15,-31.989748,151.46212,26,6459667,354715,56J,Epacris rhombifolia,4,2,0,4,2,"Dieback generally severe, most plants w ﹥50% dieback present, lower leaves and stems symptomatic first, leaves yellowing and tinged maroon","Runways and tunnels detected through Epacris and Poa under broom, few old, med and fresh scats found",884413dd-5999-4f9b-9044-c91440ae1843_1683270812.jpg,884413dd-5999-4f9b-9044-c91440ae1843_1683270991.jpg,884413dd-5999-4f9b-9044-c91440ae1843_1683271096.jpg,
a674b0a7-2c76-42a4-92fb-6be43e474289,2023-05-05T06:54:16.000Z,2023-05-07T02:38:15.000Z,sos2.hccb@gmail.com,a674b0a7-2c76-42a4-92fb-6be43e474289,BB14,-31.989883,151.463005,6,6459653,354798,56J,Epacris rhombifolia,10,4,0,10,4,"Dieback severe, most plants w ﹥75% dieback present, lower leaves and stems symptomatic first, leaves yellowing and tinged maroon","Runways and tunnels into Epacris clumps numerous, v high abundance of fresh, med and old scats in clumps",a674b0a7-2c76-42a4-92fb-6be43e474289_1683269460.jpg,a674b0a7-2c76-42a4-92fb-6be43e474289_1683269561.jpg,a674b0a7-2c76-42a4-92fb-6be43e474289_1683269628.jpg,
58b1b908-bc39-409e-ac8a-0a4a58d4de38,2023-05-05T06:36:28.000Z,2023-05-07T02:38:10.000Z,sos2.hccb@gmail.com,58b1b908-bc39-409e-ac8a-0a4a58d4de38,BB13_ASTERACEAE_SHRUB,-31.990121,151.463467,6,6459628,354842,56J,sp. ,2,0,0,2,0,"Reasonably healthy, symptoms  of rust present few leaves discoloured and wiltiny","Runway through Poa under shrub w many fresh, med and old scats present",58b1b908-bc39-409e-ac8a-0a4a58d4de38_1683268215.jpg,58b1b908-bc39-409e-ac8a-0a4a58d4de38_1683268453.jpg,58b1b908-bc39-409e-ac8a-0a4a58d4de38_1683268581.jpg,
1b4f87e3-c6a8-49cc-ad19-0fab06089940,2023-05-05T06:26:13.000Z,2023-05-07T02:38:12.000Z,sos2.hccb@gmail.com,1b4f87e3-c6a8-49cc-ad19-0fab06089940,BB12,-31.99014,151.463448,6,6459625,354841,56J,Epacris rhombifolia,9,3,0,9,3,"Dieback severe, most plants w ﹥75% dieback present, lower leaves and stems symptomatic first, leaves yellowing and tinged maroon","Runways & tunnels through Epacris clump detected, w abundant! fresh, med and old scats found",1b4f87e3-c6a8-49cc-ad19-0fab06089940_1683267783.jpg,1b4f87e3-c6a8-49cc-ad19-0fab06089940_1683267905.jpg,1b4f87e3-c6a8-49cc-ad19-0fab06089940_1683267951.jpg,
9c9fa55d-b0f0-441b-ac87-75bbb22e34ad,2023-05-05T06:03:17.000Z,2023-05-07T02:38:07.000Z,sos2.hccb@gmail.com,9c9fa55d-b0f0-441b-ac87-75bbb22e34ad,BB11_Asteraceae shrub,-31.989367,151.464323,7,6459712,354922,56J,sp. ,1,0,0,1,0,Mostly healthy but w symptoms of rust present,Few old and med scats found in runway going under shrub,9c9fa55d-b0f0-441b-ac87-75bbb22e34ad_1683266569.jpg,,9c9fa55d-b0f0-441b-ac87-75bbb22e34ad_1683266592.jpg,
79ad7bbf-ddcc-400c-be31-c1fceb23bf05,2023-05-05T05:57:32.000Z,2023-05-07T02:38:05.000Z,sos2.hccb@gmail.com,79ad7bbf-ddcc-400c-be31-c1fceb23bf05,BB10,-31.989366,151.464312,7,6459712,354921,56J,Epacris rhombifolia,10,5,1,9,5,"Dieback severe, most plants w﹥75% dieback present, lower leaves and stems symptomatic first, leaves yellowing & tinged maroon,  few herbs also looking unhealthy tinged maroon, few juveniles present","Runways and tunnels through Epacris clump detected, few fresh scats, abundant med & old scats detected",79ad7bbf-ddcc-400c-be31-c1fceb23bf05_1683266062.jpg,79ad7bbf-ddcc-400c-be31-c1fceb23bf05_1683266241.jpg,79ad7bbf-ddcc-400c-be31-c1fceb23bf05_1683265936.jpg,79ad7bbf-ddcc-400c-be31-c1fceb23bf05_1683266043.jpg
a45389ae-0526-412f-b6d8-b5d3875d57a9,2023-05-05T04:03:07.000Z,2023-05-07T02:38:02.000Z,sos2.hccb@gmail.com,a45389ae-0526-412f-b6d8-b5d3875d57a9,BB09  LEPTOSPERMUM,-31.994464,151.464385,16,6459147,354936,56J,sp. ,15,1,5,10,1,"Dieback q abundant in population, some portions of plants completely sparse, leaves sometimes tinged maroon, few healthy juveniles present","Fresh and med scats found under Lepto shrub, runways and tunnels present",a45389ae-0526-412f-b6d8-b5d3875d57a9_1683259281.jpg,,a45389ae-0526-412f-b6d8-b5d3875d57a9_1683259351.jpg,a45389ae-0526-412f-b6d8-b5d3875d57a9_1683259384.jpg
